id,spam,commentCount,dislikeCount,likeCount,viewCount,defaultAudioLanguage
VBozk2qZEpg,2,436,23,2578,44388,en
PC54M2M4hB0,2,262,1,451,3429,en
eqyDoWveDNg,2,32297,472,43724,1151939,en
HKSRMc7KcRw,1,19,4,135,2148,en
EMR6gEyF8gM,1,14,5,135,2003,en
Nl4Fj5Eb-ts,1,28,4,114,2034,en
aA8yyip_RpA,1,39,12,276,4386,en
v6Q-hhS924c,1,84,15,354,8020,en
jk-MUqVD35o,1,37,15,175,3061,en
bJJosnoZY0g,1,95,9,310,5072,en
6Hx6yWDHQlg,1,228,21,412,6891,en
jQi-9OC8E7w,1,96,21,245,4756,en
UbVHmVnhShE,1,123,23,449,8385,en
wzsyoc3BKUo,1,129,8,269,2414,en-US
YEsLHLR6OTs,1,55,8,195,2035,en-US
jeFMEKN2xHQ,1,275,20,367,3905,en-US
xeLiwdzuWLY,1,109,12,243,2977,en-US
iUegu1m2E_s,1,144,12,185,2265,en-US
1u_f-YIsNMs,1,13,0,14,115,en
OUNMYnfhatA,1,24,2,23,334,en
o24YcDTKA-4,1,23,2,39,566,en
zi2tTCpIPg0,1,12,0,13,184,en
oNPIoaW77Mg,1,17,2,15,508,en
